"report_id","date_time","police_beat","street_no","street_dir","street_name","street_type","cross_st_dir","cross_st_name","cross_st_type","violation_section","violation_type","charge_desc","injured","killed","hit_run_lvl"
"600101","2016-01-02 13:42:00","437","6800"," ","PARADISE VALLEY","ROAD"," "," "," ","21703","VC","FOLLOWING TOO CLOSELY","1","0",""
"600019","2016-01-02 14:56:00","512","700"," ","SICARD","STREET"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","0","0","MISDEMEANOR"
"600158","2016-01-02 15:00:00","826","4100"," ","ESTRELLA","AVENUE"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"600112","2016-01-02 16:00:00","628","3700"," ","INDIA","STREET"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","1","0",""
"600073","2016-01-02 16:33:00","451","6300"," ","COLLEGE GROVE","DRIVE"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"600327","2016-01-02 17:26:00","124","5200"," ","LA JOLLA","BOULEVARD"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","1","0",""
"600106","2016-01-02 18:23:00","242","9700"," ","CARROLL CANYON","ROAD"," "," "," ","21950A","VC","YIELD RIGHT OF WAY TO PEDESTRIANS","1","0",""
"600355","2016-01-02 18:55:00","111","7800"," ","STALMER","STREET"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"600053","2016-01-02 20:00:00","326","5100"," ","COLLEGE","AVENUE"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","0","0","MISDEMEANOR"
"600298","2016-01-02 20:00:00","839","3800"," ","39TH","STREET"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"600145","2016-01-02 20:59:00","314","3000"," ","HEALTH CENTER","DRIVE"," "," "," ","21703","VC","FOLLOWING TOO CLOSELY","2","0",""
"600074","2016-01-03 00:01:00","823","5800"," ","UNIVERSITY","AVENUE"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"600089","2016-01-03 00:01:00","724","700"," ","HOLLISTER","STREET"," "," "," ","21954A","VC","PEDESTRIANS OUTSIDE CROSSWALKS","1","0",""
"600115","2016-01-03 00:01:00","521","400"," ","10TH","AVENUE"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"600009","2016-01-03 01:30:00","313","4900"," ","MERCURY","STREET"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"600069","2016-01-03 02:21:00","451","5100"," ","FEDERAL","BOULEVARD"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"600079","2016-01-03 04:36:00","246","10400"," ","SPRING CANYON","ROAD"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"600008","2016-01-03 09:00:00","315","1600"," ","CAM DEL RIO NORTH"," "," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"600151","2016-01-03 12:08:00","122","4500"," ","MISSION BAY","DRIVE"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"600100","2016-01-03 14:36:00","441","3500"," ","OCEAN VIEW","BOULEVARD"," "," "," ","22106","VC","STARTING PARKED VEHICLES OR BACKING","2","0",""
"600137","2016-01-03 19:32:00","233","13300"," ","RANCHO PENASQUITOS","BOULEVARD"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","1","0",""
"600566","2016-01-03 20:00:00","315","1200"," ","CAM DEL RIO NORTH"," "," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"600057","2016-01-03 23:06:00","712","200"," ","VIA DE SAN YSIDRO"," "," "," "," ","22106","VC","STARTING PARKED VEHICLES OR BACKING","0","0","MISDEMEANOR"
"600127","2016-01-03 23:15:00","813","4100"," ","OHIO","STREET"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"600217","2016-01-04 00:01:00","122","4500"," ","GRESHAM","STREET"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"600360","2016-01-04 02:00:00","529","3100"," ","FRONT","STREET"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"600167","2016-01-04 05:51:00","443","4000"," ","DIVISION","STREET"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","2","0",""
"170160","2016-01-04 07:45:00","313","5000"," ","SHAWLINE","STREET"," "," "," ","22106","VC","STARTING PARKED VEHICLES OR BACKING","0","0","MISDEMEANOR"
"600123","2016-01-04 08:00:00","521","0"," ","16TH","STREET"," ","F","STREET","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"600159","2016-01-04 10:00:00","831","4300"," ","EUCLID","AVENUE"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"170170","2016-01-04 10:12:00","822","5500"," ","UNIVERSITY","AVENUE"," "," "," ","21804","VC","ENTERING HWY FROM PRIVATE ROAD OR DRIVEWAY","2","0",""
"600153","2016-01-04 10:25:00","613","4300","W","WEST POINT LOMA","BOULEVARD"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"600391","2016-01-04 11:24:00","313","7300"," ","CLAIREMONT MESA","BOULEVARD"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0",""
"600124","2016-01-04 12:00:00","242","10400"," ","PARKDALE","AVENUE"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"600125","2016-01-04 12:09:00","614","4600"," ","PESCADERO","AVENUE"," "," "," ","22106","VC","STARTING PARKED VEHICLES OR BACKING","0","0","MISDEMEANOR"
"600118","2016-01-04 14:20:00","312","10600"," ","TIERRASANTA","BOULEVARD"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"600649","2016-01-04 15:02:00","832","4300"," ","UNIVERSITY","AVENUE"," "," "," ","23153","VC","DRIVING UNDER THE INFLUENCE W/ INJURY","2","0",""
"600116","2016-01-04 15:30:00","124","8600"," ","VILLA LA JOLLA","DRIVE"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"600440","2016-01-04 16:28:00","614","2800"," ","SUNSET CLIFFS","BOULEVARD"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","1","0",""
"600139","2016-01-04 16:52:00","627","1400"," ","UNIVERSITY","AVENUE"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","1","0",""
"600174","2016-01-04 16:58:00","833","4300"," ","WIGHTMAN","STREET"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0",""
"600138","2016-01-04 18:20:00","232","14000"," ","STONEY GATE","PLACE"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","1","0",""
"600372","2016-01-04 22:26:00","436","6600"," ","AVIATION","DRIVE"," "," "," ","22106","VC","STARTING PARKED VEHICLES OR BACKING","0","0",""
"600141","2016-01-04 22:57:00","522","500"," ","01ST","AVENUE"," "," "," ","21453A","VC","RED OR STOPVEHICLES STOP AT LIMIT LINE","4","0",""
"600675","2016-01-05 00:00:00","615","1600"," ","ROSECRANS","STREET"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"600296","2016-01-05 00:01:00","116","4200"," ","GESNER","STREET"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"600207","2016-01-05 07:30:00","438","5700"," ","SHAW","STREET"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"600063","2016-01-05 09:00:00","522","100"," ","G","STREET"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"600160","2016-01-05 11:00:00","935","2700"," ","VIA DE LA VALLE"," "," "," "," ","22106","VC","STARTING PARKED VEHICLES OR BACKING","0","0","MISDEMEANOR"
"600388","2016-01-05 11:40:00","613","3800"," ","MIDWAY","DRIVE"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"170279","2016-01-05 11:45:00","624","2100"," ","MEADE","AVENUE"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"600168","2016-01-05 14:30:00","437","7300"," ","PARADISE VALLEY","ROAD"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","1","0",""
"600162","2016-01-05 15:00:00","434","7100"," ","LISBON","STREET"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","1","0","MISDEMEANOR"
"600199","2016-01-05 15:30:00","242","9500"," ","GOLD COAST","DRIVE"," "," "," ","22106","VC","STARTING PARKED VEHICLES OR BACKING","0","0","MISDEMEANOR"
"600166","2016-01-05 15:32:00","831","4400"," ","ORANGE","AVENUE"," "," "," ","21802A","VC","ENTRANCE FROM STOP THROUGH HIGHWAYYIELD UNTIL REASONABLY SAFE","1","0",""
"600409","2016-01-05 16:15:00","625","0"," ","PACIFIC","HIGHWAY"," ","TAYLOR","STREET","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"600448","2016-01-05 17:19:00","628","2600"," ","REYNARD","WAY"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","0","0",""
"600164","2016-01-05 19:21:00","621","2200"," ","ULRIC","STREET"," "," "," ","22450(A)","VC","STOP REQUIREMENTS STATE STOP LINE","1","0","MISDEMEANOR"
"600156","2016-01-05 19:25:00","614","4800"," ","NARRAGANSETT","AVENUE"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"600155","2016-01-05 20:30:00","931","10100"," ","VISTA SORRENTO","PARKWAY"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"600163","2016-01-05 23:37:00","723","3500"," ","PALM","AVENUE"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","1","0","MISDEMEANOR"
