Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
222,Al Jefferson,C,31,CHO,47,18,1096,245,505,0,0,245,505,72,111,57,244,301,70,30,41,34,117,562
223,Cory Jefferson,PF,25,PHO,8,0,50,9,22,0,1,9,21,4,6,6,10,16,0,0,1,0,8,22
224,Richard Jefferson,SF,35,CLE,74,5,1326,143,312,66,173,77,139,58,87,15,113,128,59,33,14,43,129,410
225,John Jenkins,SG,24,TOT,43,3,480,71,160,16,51,55,109,20,24,8,49,57,35,8,1,27,22,178
225,John Jenkins,SG,24,DAL,21,1,193,29,70,3,19,26,51,8,9,4,18,22,9,3,0,11,11,69
225,John Jenkins,SG,24,PHO,22,2,287,42,90,13,32,29,58,12,15,4,31,35,26,5,1,16,11,109
226,Brandon Jennings,PG,26,TOT,48,7,868,112,304,51,155,61,149,57,78,16,80,96,170,29,7,57,57,332
226,Brandon Jennings,PG,26,DET,23,1,416,53,143,24,77,29,66,27,38,5,41,46,70,11,2,22,24,157
226,Brandon Jennings,PG,26,ORL,25,6,452,59,161,27,78,32,83,30,40,11,39,50,100,18,5,35,33,175
227,Jonas Jerebko,PF,28,BOS,78,0,1176,118,286,43,108,75,178,61,78,77,211,288,62,20,24,52,137,340
228,Amir Johnson,PF,28,BOS,79,76,1800,249,426,10,43,239,383,69,121,178,327,505,138,52,83,94,214,577
229,Chris Johnson,SF,25,UTA,70,2,857,72,194,27,99,45,95,34,42,27,105,132,45,32,20,40,100,205
230,James Johnson,PF,28,TOR,57,32,926,114,240,20,66,94,174,39,68,28,98,126,67,29,33,54,84,287
231,Joe Johnson,SF,34,TOT,81,81,2703,377,859,120,313,257,546,118,142,49,243,292,318,61,4,159,146,992
231,Joe Johnson,SF,34,BRK,57,57,1934,247,608,85,229,162,379,92,108,34,190,224,232,40,2,116,100,671
231,Joe Johnson,SF,34,MIA,24,24,769,130,251,35,84,95,167,26,34,15,53,68,86,21,2,43,46,321
232,Orlando Johnson,SG,26,TOT,7,1,101,9,34,2,10,7,24,6,8,4,11,15,2,3,3,4,9,26
232,Orlando Johnson,SG,26,PHO,2,0,47,5,17,1,5,4,12,5,6,3,6,9,0,2,3,1,5,16
232,Orlando Johnson,SG,26,NOP,5,1,54,4,17,1,5,3,12,1,2,1,5,6,2,1,0,3,4,10
233,Stanley Johnson,SF,19,DET,73,6,1687,225,600,63,205,162,395,80,102,58,248,306,118,55,12,114,178,593
234,Tyler Johnson,SG,23,MIA,36,5,863,118,243,27,71,91,172,51,64,28,81,109,79,24,14,47,66,314
235,Wesley Johnson,SF,28,LAC,80,9,1666,208,515,103,309,105,206,30,46,37,211,248,49,89,56,54,173,549
236,Nikola Jokic,C,20,DEN,80,55,1733,307,600,28,84,279,516,154,190,181,379,560,189,79,50,104,208,796
237,Dahntay Jones,SF,35,CLE,1,0,42,6,14,1,2,5,12,0,0,1,4,5,2,1,2,0,6,13
238,James Jones,SF,35,CLE,48,0,463,58,142,41,104,17,38,21,26,8,42,50,14,11,10,13,50,178
239,Terrence Jones,PF,24,HOU,50,11,1044,166,367,25,79,141,288,77,116,62,149,211,41,23,39,49,86,434
240,Tyus Jones,PG,19,MIN,37,0,573,56,156,16,53,40,103,28,39,7,40,47,108,31,3,33,33,156
241,DeAndre Jordan,C,27,LAC,77,77,2598,357,508,0,1,357,507,266,619,267,792,1059,90,51,177,107,207,980
242,Cory Joseph,SG,24,TOR,80,4,2046,257,585,30,110,227,475,133,174,39,171,210,250,63,20,102,131,677
243,Chris Kaman,C,33,POR,16,2,112,20,43,1,4,19,39,3,3,7,17,24,11,1,1,8,15,44
244,Frank Kaminsky,C,22,CHO,81,3,1708,215,525,68,202,147,323,108,148,69,266,335,98,38,43,58,126,606
245,Enes Kanter,C,23,OKC,82,1,1721,414,719,10,21,404,698,200,251,249,415,664,33,26,33,115,166,1038
246,Sergey Karasev,SF,22,BRK,40,5,399,30,74,11,37,19,37,26,28,8,50,58,35,6,2,22,27,97
247,Sasha Kaun,C,30,CLE,25,0,95,9,17,0,0,9,17,5,11,12,14,26,3,4,5,7,11,23
248,Ryan Kelly,PF,24,LAL,36,0,470,55,149,5,37,50,112,37,54,21,100,121,20,13,10,18,39,152
249,Michael Kidd-Gilchrist,SF,22,CHO,7,7,205,33,61,3,7,30,54,20,29,12,33,45,9,3,3,8,9,89
250,Sean Kilpatrick,SG,26,TOT,31,0,616,123,270,39,114,84,156,60,67,12,44,56,29,12,2,31,37,345
250,Sean Kilpatrick,SG,26,DEN,8,0,82,8,21,4,17,4,4,7,8,2,4,6,3,2,0,4,7,27
250,Sean Kilpatrick,SG,26,BRK,23,0,534,115,249,35,97,80,152,53,59,10,40,50,26,10,2,27,30,318
251,Brandon Knight,SG,24,PHO,52,50,1870,371,895,120,351,251,544,156,183,36,166,202,263,61,20,177,124,1018
252,Kyle Korver,SG,34,ATL,80,80,2401,268,616,158,397,110,219,45,54,14,246,260,164,60,35,98,161,739
253,Kosta Koufos,C,26,SAC,78,14,1482,236,444,0,0,236,444,57,104,169,254,423,33,40,70,48,185,529
254,Jeremy Lamb,SG,23,CHO,66,0,1227,230,510,56,181,174,329,64,88,44,208,252,77,42,30,50,105,580
255,Carl Landry,PF,32,PHI,36,12,569,139,250,6,13,133,237,67,91,49,97,146,32,12,9,22,69,351
256,Shane Larkin,PG,23,BRK,78,17,1751,222,502,39,108,183,394,83,107,28,152,180,342,95,12,146,121,566
257,Joffrey Lauvergne,C,24,DEN,59,15,1041,195,380,13,53,182,327,62,69,77,213,290,56,13,15,54,115,465
258,Zach LaVine,SG,20,MIN,82,33,2294,433,959,123,316,310,643,161,203,27,201,228,251,69,17,155,193,1150
259,Ty Lawson,PG,28,TOT,66,13,1411,139,354,36,108,103,246,59,86,26,94,120,237,53,7,95,87,373
259,Ty Lawson,PG,28,HOU,53,12,1176,111,287,31,94,80,193,56,80,20,69,89,180,43,6,82,71,309
259,Ty Lawson,PG,28,IND,13,1,235,28,67,5,14,23,53,3,6,6,25,31,57,10,1,13,16,64
260,Courtney Lee,SG,30,TOT,79,65,2334,290,639,82,217,208,422,99,118,29,176,205,136,85,28,72,134,761
260,Courtney Lee,SG,30,MEM,51,37,1489,192,419,51,138,141,281,76,92,19,99,118,76,52,16,49,79,511
260,Courtney Lee,SG,30,CHO,28,28,845,98,220,31,79,67,141,23,26,10,77,87,60,33,12,23,55,250
261,David Lee,PF,32,TOT,55,5,903,178,335,0,1,178,334,71,93,101,204,305,84,22,28,66,114,427
261,David Lee,PF,32,BOS,30,4,470,87,192,0,1,87,191,40,51,41,89,130,54,12,13,38,51,214
261,David Lee,PF,32,DAL,25,1,433,91,143,0,0,91,143,31,42,60,115,175,30,10,15,28,63,213
262,Alex Len,C,22,PHO,78,46,1821,264,624,1,7,263,617,174,239,178,416,594,97,38,62,145,230,703
263,Kawhi Leonard,SF,24,SAS,72,72,2380,551,1090,129,291,422,799,292,334,95,398,493,186,128,71,105,133,1523
264,Meyers Leonard,PF,23,POR,61,10,1333,195,435,86,228,109,207,35,46,51,263,314,92,8,18,77,183,511
